lambda,accuracy,deviance
4.5399929762484854e-5,0.62825,213.78022605045066
1.2340980408667956e-4,0.6095,190.17638873682756
3.3546262790251185e-4,0.62025,169.53702800951214
9.118819655545162e-4,0.62475,148.015708310249
0.0024787521766663585,0.63325,122.63478392839494
0.006737946999085467,0.63825,105.17239031017128
0.01831563888873418,0.6375,84.8466362403548
0.049787068367863944,0.63675,74.38693750107093
0.1353352832366127,0.6585,60.13266598167996
0.36787944117144233,0.67375,51.472247117195785
1,0.70525,47.201016979152584
2.718281828459045,0.7155,47.93161004706041
7.38905609893065,0.69525,50.36420903932567
20.085536923187668,0.60175,52.843519090543154
54.598150033144236,0.5595,54.34732653422451
148.4131591025766,0.553,55.115142840468245
403.4287934927351,0.55525,55.22003893149445
1096.6331584284585,0.57875,54.85895774902326
2980.9579870417283,0.5645,55.29201585448133
8103.083927575384,0.56225,55.30347444175619
22026.465794806718,0.57175,54.99649635238665
